orgid,locationid,name,address1,address2,city,state,zip,deleted,locationtype,licensenum,id,locationexp,locationissue,status,districtcode,loclatitude,loclongitude,mailaddress1,mailaddress2,mailcity,mailstate,mailzip,locubi,producer,processor,retail,transactionid,transactionid_original,fifteenday_end,delete_time
168,1,KOUCHLOCK PRODUCTIONS,18001 E EUCLID AVE,SUITE 1,SPOKANE VALLEY,WA,992161763,1,6,419150,124,1493621999,1459407599,CLOSED (PERMANENT),7N,47.7149924,-117.3809608,18001 E EUCLID AVE,,SPOKANE VALLEY,WA,992161763,603104650,1,1,,61598569,121535,1395317793,1464152400
169,1,DOWNTOWN CANNABIS COMPANY,612 S ALASKA ST,,SEATTLE,WA,981081727,0,5,420213,126,1501570799,1467183599,ACTIVE (ISSUED),7J,47.2535946,-122.2487268,527 GRANT AVE S,,RENTON,WA,980576041,603312134,1,1,,61598569,121536,1395486900,
167,1,NINE POINT GROWTH INDUSTRIES,1788 3RD AVE W,,BREMERTON,WA,983125300,0,5,412107,127,1509519599,1478242799,ACTIVE (ISSUED),7B,47.545689,-122.679097,1788 3RD AVE W,,BREMERTON,WA,983125300,603340680,1,1,,61598569,121543,1395490502,
170,1,SEA OF GREEN FARMS,2327 W COMMODORE WAY,,SEATTLE,WA,981991271,0,5,412069,139,1491029999,1460271599,ACTIVE (ISSUED),7J,47.6606524,-122.3868798,2327 W COMMODORE WAY,,SEATTLE,WA,981991271,603285081,1,1,,61598569,121545,1396437302,
165,1,CANNAMAN FARMS,6212 NE 152ND AVE,# A,VANCOUVER,WA,986825109,0,1,412079,140,1504249199,1472108399,ACTIVE (ISSUED),7E,45.667997,-122.517095,2940 NW 12TH AVE,,CAMAS,WA,986079807,603325727,1,,,61598569,121553,1396523700,
164,1,TUMBLEWEED FARM,47504 N 108 PR NW,,BENTON CITY,WA,993206690,0,5,412084,141,1504249199,1473577199,ACTIVE (ISSUED),7O,46.282275,-119.519197,3208 33RD AVE S,,SEATTLE,WA,981446902,603324694,1,1,,61598569,121558,1397042102,
163,1,HIGHWATER FARMS,2400 W SKOKOMISH VALLEY RD,STE A,SHELTON,WA,985847402,0,5,412223,142,1512115199,1480492799,ACTIVE (ISSUED),7R,47.318155,-123.212934,2400 W SKOKOMISH VALLEY RD,,SHELTON,WA,985847402,603172306,1,1,,62618185,121555,1397128502,
173,1,PHAT N STICKY,2611 N WOODRUFF RD STE A,,SPOKANE VALLEY,WA,992064138,0,6,412217,143,1506841199,1481270399,ACTIVE (ISSUED),7N,47.681323,-117.272845,2611 N WOODRUFF RD STE A,,SPOKANE VALLEY,WA,992064138,603333486,1,1,,64584654,121542,1397214902,
175,1,TROPIC GROW,1430 MARINE DR,,SEQUIM,WA,983829574,0,5,412106,144,1509519599,1475045999,ACTIVE (ISSUED),7R,48.1476666,-123.1417616,1332 MARINE DR,,SEQUIM,WA,983820000,603340376,1,1,,61598569,121549,1397733300,
180,1,DRAGON HIGH,532 132ND ST SW,,EVERETT,WA,982047318,0,6,412239,145,1501570799,1472108399,ACTIVE (ISSUED),7G,47.878394,-122.241279,10121 EVERGREEN WAY STE 25-529,,EVERETT,WA,982043885,603318987,1,1,,61598569,121537,1397819702,
202,1,PENINSULA ORGANICS,3368 EAST HWY 101,,PORT ANGELES,WA,983622540,1,5,412218,146,1443682799,1415347199,CLOSED (PERMANENT),7D,48.1071359,-123.362935,218 MOTOR AVE,,PORT ANGELES,WA,983622540,603334435,1,1,0,61598569,121556,1398338100,1449115200
198,1,FIREWEED FARMS,133302 W JOHNSON RD STE A,,PROSSER,WA,993507503,0,3,412194,147,1491029999,1456991999,ACTIVE (ISSUED),7O,46.2290936,-119.7688787,133302 W JOHNSON RD STE A,,PROSSER,WA,993507503,601673067,1,,,61598569,121546,1398597300,
197,1,WOW WEED,100 DOW RD,,DALLESPORT,WA,986170677,0,5,413038,148,1493621999,1460789999,ACTIVE (ISSUED),7E,45.6276306,-121.146538,PO BOX 3,,DALLESPORT,WA,986170000,603356492,1,1,,61598569,121551,1398942900,
200,1,GREEN APPLE,12363 CLEAR CREEK RD NW,,SILVERDALE,WA,983839629,0,6,412943,149,1506841199,1474700399,ACTIVE (ISSUED),7D,47.675561,-122.696759,126 SW 148TH ST STE C100-228,,BURIEN,WA,981661984,603586864,1,1,,61598569,121544,1398942902,
179,1,ENVIRONMENTAL GREEN,3524 N EDEN RD STE B,,SPOKANE VALLEY,WA,992161740,0,4,412527,150,1512115199,1477205999,ACTIVE (ISSUED),7N,47.6889037,-117.1623114,1807 N PARK RD,,SPOKANE VALLEY,WA,992121239,603352191,1,1,,61598569,121548,1398942902,
203,1,AURICAG,820 S CHARLESTOWN,,SEATTLE,WA,981340000,0,5,412118,151,1509519599,1476860399,ACTIVE (ISSUED),7J,47.5702691,-122.3215967,PO BOX 50185,,BELLEVUE,WA,980150000,603345803,1,1,,61598569,121554,1399029302,
192,1,BUDDY BOY FARMS,38278 ANGELS LANDING RD N #A,STE A,FORD,WA,990139524,0,6,412053,152,1501570799,1473231599,ACTIVE (ISSUED),7O,47.824796,-117.842173,38278 ANGELS LANDING RD,,FORD,WA,990139524,602216943,1,1,,61598569,121557,1399202102,
199,1,MONKEY GRASS FARMS,3710 HWY 97 A,,WENATCHEE,WA,988010000,0,6,412618,153,1470034799,1463727599,ACTIVE (ISSUED),7P,47.50783,-120.4315721,PO BOX 5560,,WENATCHEE,WA,988075560,603321504,1,1,,62418863,121547,1399202102,
172,1,GREEN MATTER,20219 S HARRISON RD,STE A,EDWALL,WA,990086004,0,4,412119,154,1509519599,1478069999,ACTIVE (ISSUED),7Q,47.470656,-117.814596,20219 S HARRISON RD,STE A,EDWALL,WA,990086004,603345936,1,1,,65638689,121539,1399720503,
187,1,EMERALD TWIST,459 BRENTWOOD RD,STE A,GOLDENDALE,WA,986202813,0,3,412384,155,1491029999,1471589999,ACTIVE (ISSUED),7L,45.9037417,-120.6826038,459 BRENTWOOD RD,,GOLDENDALE,WA,986202813,603282424,1,,,61598569,121541,1399720500,
193,1,THE GREEN SURFER,14110 E MT SPOKANE PK DR BLD B,,MEAD,WA,990210000,0,4,412445,156,1483257599,1467788399,ACTIVE (ISSUED),7N,47.802573,-117.215272,8116 E FAIRVIEW AVE,,SPOKANE VALLEY,WA,992122124,603351062,1,1,,61598569,121540,1399720503,
181,2,NEXT LEVEL PRODUCTIONS,6620 N MARKET ST,,SPOKANE,WA,992177809,0,5,412144,157,1480579199,1445669999,ACTIVE (ISSUED),7M,47.718305,-117.364097,3636 E SANSON AVE,,SPOKANE,WA,992170000,603347869,1,1,,61598569,121550,1400152500,
201,1,BLEWETT PASS FARMS,2855 US 97,STE A,PESHASTIN,WA,988470000,0,7,412213,158,1480579199,1473404399,ACTIVE (ISSUED),7P,47.4674626,-120.6583738,PO BOX 478,,PESHASTIN,WA,988470478,603348951,,1,,61598569,121621,1400152500,
201,2,BLEWETT PASS FARMS,2855 US 97 # B,,PESHASTIN,WA,988470000,0,3,412214,159,1480579199,1449647999,ACTIVE (ISSUED),7P,47.4674626,-120.6583738,PO BOX 478,,PESHASTIN,WA,988470478,603348951,1,,,61598569,121613,1400152500,
209,1,DUTCH BROTHERS,505 S LANDER ST STE 2,,SEATTLE,WA,981341921,0,5,412246,160,1509519599,1479455999,ACTIVE (ISSUED),7J,47.5794732,-122.3270061,14438 151ST PL SE,,RENTON,WA,980597301,603340691,1,1,,61598569,121538,1400152503,
841,2,LANDSEYE LOGISTICS,47600 SE 153RD ST STE A,,NORTH BEND,WA,980458669,1,4,412044,161,1477983599,1449129599,CLOSED (PERMANENT),7J,47.4595709,-121.705539,47600 SE 153RD ST,,NORTH BEND,WA,980458669,602965691,1,1,,61598569,121552,1400152500,1468397708
190,1,GECKO GROWERS,4263 12TH ST SE,STE A,EAST WENATCHEE,WA,988028724,0,6,412135,162,1512115199,1481270399,ACTIVE (ISSUED),7P,47.384201,-120.1866157,PO BOX 4220,,WENATCHEE,WA,988074220,603346651,1,1,,64209379,121566,1400325300,
213,1,G-7 GROW,10167 ROAD H NW,,EPHRATA,WA,988239632,0,2,413205,163,1512115199,1476860399,ACTIVE (ISSUED),7L,47.2376107,-119.6610733,10169 ROAD H NW SUITE A,,EPHRATA,WA,988230000,603353387,1,,,61598569,121563,1400411702,
177,1,QUINCE FARM,5973 OLD MILL RD NE BLDG E-5,,BAINBRIDGE ISLAND,WA,981103140,1,4,412103,164,1412146799,1399100399,CLOSED (PERMANENT),7D,47.615482,-122.5385,5973 OLD MILL RD NE BLDG E-5,,BAINBRIDGE ISLAND,WA,981103140,603337583,1,1,0,61598569,121577,1400411700,1424836800
211,1,YIELD FARMS LLC,3911 E TRENT,,SPOKANE,WA,992024424,0,5,412337,165,1491029999,1476773999,ACTIVE (ISSUED),7M,47.671541,-117.352645,3911 E TRENT AVE,,SPOKANE,WA,992024424,603507895,1,1,,61598569,121610,1400670902,
