orgname,orgid,orgactive,orglicense,fifteendaystart,orgstatus
HIGHWATER FARMS,163,1,603172306,1395832502,1
TUMBLEWEED FARM,164,1,603324694,1395746102,1
CANNAMAN FARMS,165,1,603325727,1395227702,1
HERBAN MYTH,166,1,603346938,1402139703,1
NINE POINT GROWTH INDUSTRIES,167,1,603340680,1394194502,1
KOUCHLOCK PRODUCTIONS,168,1,603104650,1394021793,1
DOWNTOWN CANNABIS COMPANY,169,1,603312134,1394194502,1
SEA OF GREEN FARMS,170,1,603285081,1395141302,1
GREEN MATTER,172,1,603345936,1398424503,1
PHAT N STICKY,173,1,603333486,1395918902,1
CRESCOMAX,174,1,603342714,1408176903,1
TROPIC GROW,175,1,603340376,1396437302,1
THE CALYX COMPANY,176,1,603349311,1402139703,1
QUINCE FARM,177,0,603337583,1399115702,0
STARCRISP FARMS,178,1,603350929,1408695303,1
ENVIRONMENTAL GREEN,179,1,603352191,1397646902,1
DRAGON HIGH,180,1,603318987,1396523702,1
FIRE HOUSE PRODUCTIONS,181,1,603347869,1398856503,1
OM SHIV,182,1,603310532,1408608904,1
EMERALD TWIST,187,1,603282424,1398424503,1
GECKO GROWERS,190,1,603346651,1399029302,1
URBAN FARMS OF WASHINGTON,191,1,603306798,1404980103,1
BUDDY BOY FARMS,192,1,602216943,1397906102,1
THE GREEN SURFER,193,1,603351062,1398424503,1
MAGU CORP,194,1,603349049,1426666506,1
AGRIJUANA,195,1,603357954,1405152904,1
SATURN GROUP,196,1,603344149,1409818512,1
WOW WEED,197,1,603356492,1397646902,1
FIREWEED FARMS,198,1,601673067,1397301302,1
MONKEY GRASS FARMS,199,1,603321504,1397906102,1
GREEN APPLE,200,1,603586864,1397646902,1
BLEWETT PASS FARMS,201,1,603348951,1398856503,1
PENINSULA ORGANICS,202,0,603334435,1397042103,0
AURICAG,203,1,603345803,1397733302,1
J D,204,1,603337388,1401362103,1
DOCANDYETI'S,205,1,603316419,1402744503,1
ZION BOTANICALS,207,1,603350288,1405671305,1
HYDRO LIGHT,208,1,602932545,1399634102,1
DUTCH BROTHERS,209,1,603340691,1398856503,1
COPPERHEAD FARM,210,1,603324540,1402398902,1
YIELD FARMS LLC,211,1,603507895,1399374902,1
AVITAS,212,1,603271186,1403262903,1
G-7 GROW,213,1,603353387,1399115702,1
GREEN LABS,214,1,603348825,1399720502,1
BMF WASHINGTON,215,1,603348427,1400238903,1
MARIJUANA AND MORE,216,1,601280167,1402139703,1
GENSYS ONE,217,1,603349487,1404893702,1
ALPHA BUDZ,218,1,603350893,1400325302,1
VIRTUAL SERVICES,219,1,603298343,1400066102,1
NUGREEN,220,1,603348477,1400325302,1
OLYMPIC GROWERS,223,1,603348104,1402398902,1
MR. NICE GUY,224,0,603333007,1400066102,0
COUNTRY GARDENS 502,225,1,603347707,1437552909,1
GAIA INDUSTRIES,226,1,603297007,1400584503,1
LEGAL BEVERAGES,227,1,603340411,1406189704,1
DEEPWATER BOTANICALS,228,1,603349212,1400066102,1
TWELFTH MAN MARY LLC,229,1,603336629,1404893703,1
BILLIFER'S BAKED BUDS,230,1,603357379,1401794103,1
CPNL,231,1,603269197,1401448503,1
THE MARKET GARDEN,232,1,602378640,1400843702,1
HAPPY VALLEY FARMS,233,1,603456166,1400930102,1
COPELAND'S CANNABIS FARM,234,1,603342768,1400584503,1
TORCH NORTHWEST,235,1,603342012,1401362103,1
KATIE GARDENS,236,0,603350322,1401448503,0
TYPHOON YOLANDA,237,1,603352477,1401448503,1
HD HILLS,238,1,603348986,1400930102,1
OKANOGAN HIGHLANDS CANNABIS,239,1,602215880,1403090103,1
TH AGROW,240,1,603352947,1406708104,1
ALPHAPHENO,241,1,603338725,1400843702,1
GROW IT WRIGHT,242,1,603352971,1449652508,1
NETTLES UNLIMITED,243,1,602368032,1402314986,1
TOTALLY AWESOME CANNABIS,244,1,603600534,1402139703,1
AQUA ORGANICS,245,1,601996429,1402139703,1
JV RANCH,246,1,603346255,1409991304,1
GROWTH INDUSTRIES,247,1,603349441,1404375303,1
EMERALD JANE'S,248,1,603348395,1410941705,1
E & B GROWERS,249,1,603500817,1403694903,1
ROOT DOWN,250,1,603349363,1403090103,1
BEARDED BRO'S BEST,251,0,603350330,1402485303,0
CANNASOL FARMS,252,1,603324011,1402139703,1
ANTOINE CREEK FARMS,253,1,603348483,1403770503,1
THE HAPPY CROWD,254,1,603350615,1403262903,1
LILLY OF THE VALLEY GARDENS,255,1,603350795,1403608502,1
THE GREEN COMPANY,257,1,603277139,1403262903,1
PYRAMID GREEN HOUSES,258,1,603350871,1408781704,1
K&M GROWERS,261,1,603342138,1403090103,1
ORANGE STATE,262,1,603350715,1404288903,1
ZOOBEES DOOBEES,263,1,603350743,1406967303,1
NATURAL MYSTIC FARMS,265,1,603349351,1406276103,1
JCJ GREENS,267,1,603350607,1402485303,1
FALES GROWERS,268,1,603353520,1476778507,1
MEDICINE WOMAN,269,1,601126223,1403608503,1
BONDI FARMS,270,1,603348549,1411632904,1
HORSE HEAVEN HILLS HIGH,271,1,603404034,1403770503,1
BANG'S CANNABIS COMPANY,272,1,603519758,1405584904,1
WELWATER,273,1,603176573,1406708103,1
SWEETGRASS,274,1,603348423,1403770502,1
PDT TECHNOLOGIES,275,1,603307697,1404202503,1
FRESH PRODUCTIONS,276,1,602589633,1403090103,1
RAVENS KEEP,277,1,603349065,1404288903,1
BLUE SKY GROWERS,278,1,603344711,1403694903,1
SYSCO PANCHO'S,279,1,603250855,1403349303,1
TOP CUT FARMS,280,1,603347797,1403090103,1
ISLAND REEFER,281,0,603350494,1403090103,0
FANTASY FARMS LLC,282,1,603353887,1405671304,1
ROCKY BROOK RANCH,283,1,603355336,1464855308,1
MISS FITS LAUGHING STALK,284,0,603353014,1406103303,0
THOMAS PAUL HICKEY,285,1,603357641,1404375303,1
METHOW VALLEY NURSERY,286,1,600511723,1405580399,1
BUD HUT,287,1,603359169,1404720903,1
CANNARAIL STATION,288,1,600128226,1404720903,1
GREENSIDE,289,1,603348991,1411114504,1
BLACK DOG ACRES,290,1,603374498,1402485303,1
WHIDBEY ISLAND CANNABIS CO.,291,1,603372702,1404720904,1
CANNABIS CITY,292,1,603339269,1404720903,1
THE FOUR TWENTY COLLECTION,293,1,603293916,1405580399,1
STICKY'S,294,1,603344428,1410250504,1
LAND OF LIZARDS,295,1,603341338,1405152903,1
GREENFINGERS 509,296,1,603356137,1405671305,1
NEW VANSTERDAM,297,1,603352415,1404720903,1
MANASTASH GARDENS,298,1,603356438,1404202503,1
STATION 420,299,1,603408357,1404720903,1
FORBIDDEN FARMS,300,1,603345392,1407226503,1
WESTSIDE420 RECREATIONAL,301,1,603074019,1404720904,1
GREEN STOP CANNABIS,302,1,603475611,1406708104,1
NORTHWEST GROWN PRODUCTS,303,1,603359122,1423127705,1
SECRET GARDENS OF WASHINGTON,304,1,603349027,1409818510,1
CASCADE GROWERS,305,1,603350122,1406016903,1
MAJICO,306,1,603344791,1407399304,1
SATORI,307,1,603348638,1404720904,1
D & L ENTERPRISES,308,1,603353604,1405584904,1
PINNACLE NW,309,1,603349472,1405152903,1
THE HOLLINGSWORTH CANNABIS COMPANY,310,1,603354868,1404288903,1
GREEN CHIEFS,311,1,603356926,1406276103,1
ORIGIN CANNABIS COMPANY,312,1,603346213,1405412103,1
RAINIER ON PINE,317,1,603358289,1404720903,1
THE HUNT COMPANY,318,1,603348898,1404980103,1
MAIN STREET MARIJUANA,319,1,603357161,1404720903,1
4US RETAIL,320,1,602137911,1404720904,1
GREEN STAR CANNABIS,321,1,603350930,1404720904,1
CLEAR CHOICE CANNABIS,322,1,603267081,1406708104,1
MARIJUANA MART,323,1,603351976,1407226503,1
CASCADE HERB COMPANY,324,1,603358738,1406362503,1
GREENRUSH,325,1,603346914,1404893702,1
GOODBUDS,326,1,602377723,1424769306,1
QUINCY GREEN,327,1,603349590,1406708104,1
SPOKANE GREEN LEAF,328,1,603350712,1404720904,1
CASCADE KROPZ,329,1,603365603,1404720903,1
ELEVEN WINDOW VENTURES,330,1,603349194,1406276103,1
THE HAPPY CROP SHOPPE,331,1,603339564,1404720904,1
BBB FARMS,332,1,603346785,1405412103,1
MONTGOMERY AVE GROWERS,333,1,603357908,1405757704,1
SILICA PHOENIX,334,1,603315249,1404893703,1
420 HOLIDAY,335,1,603359238,1406621703,1
CASCADE CROPS,336,1,603323411,1404980103,1
FREEDOM MARKET,337,1,603410347,1404720904,1
HIGHWAY 7,338,1,603358154,1404720904,1
LOUIS W,339,1,603348607,1404980103,1
PACIFIC CANNA CLONES,340,1,603354417,1404980103,1
AUSTIN LOTT,341,1,603354900,1404720904,1
420 CARPENTER,342,1,603358548,1404720903,1
2020 SOLUTIONS,343,1,602997574,1404720903,1
ALTITUDE,344,1,603357090,1404720904,1
CANAPAC,345,1,603499975,1481879763,1
MEAN THE GREEN,346,1,603359023,1405584904,1
THE BACK PORCH,347,1,603255234,1414657474,1
VICTORY CANNABIS WA,348,1,603349190,1406016903,1
HERBAL NATION,349,1,603489660,1405757706,1
SAN JUAN SUN GROWN,352,1,603313835,1408004105,1
CLARITY FARMS,353,1,603345333,1405671305,1
TREE OF KNOWLEDGE,354,0,603358621,1408608904,0
509 DA KINE,355,1,603347335,1406708104,1
GREEN LADY,356,1,603360122,1407226503,1
HERBAL ACCESS RETAIL,357,1,603318596,1406967303,1
BRIGHTSIDE FARMS,358,1,603529503,1406016903,1
SEA CHANGE CANNABIS,359,1,603352959,1405757704,1
MARGIES'S POT SHOP LLC,360,1,603430369,1404720903,1
MILL CREEK NATURAL FOODS,361,1,602488299,1405152903,1
GREENSIDE,362,1,603349148,1404807303,1
GREEN COLLAR CANNABIS,363,1,603348039,1406621703,1
TOP SHELF CANNABIS,364,1,603350575,1404720903,1
DRAGONLEAF,365,1,603325998,1407572103,1
LADY EARTH BOTANICALS,366,1,603349180,1404893703,1
CANNABLYSS,367,1,603359615,1408695304,1
GOLDEN LEAF,368,1,602662978,1405757705,1
GREEN THEORY,369,1,603411239,1404720904,1
RJL,370,1,601680455,1405412103,1
MNS - PNP,371,1,603349446,1409386504,1
POT ZONE,373,1,603353868,1406103303,1
DB3,374,1,603344005,1404980103,1
OBERFELDER HOLDINGS,375,1,603350349,1405580399,1
HIGH SOCIETY,376,1,603351033,1408090503,1
THORJON RUSSELL-J1,377,1,601544408,1406189704,1
GREEN DESERT OASIS,378,1,603355337,1406016903,1
GREEN OUTFITTERS,379,1,603351170,1421918106,1
RAINIER ORGANICS,380,1,603346888,1406708104,1
LIFE GARDENS 1,381,1,603335633,1405757705,1
OREGRADE,382,0,601985130,1406621703,0
CRESCENDO CHOCOLATE,383,1,603322178,1414570504,1
CANNABIS CENTRAL,384,1,603383934,1406621703,1
MAJEBACILON,385,1,603348810,1408522504,1
HERBSCAPES,395,1,601264180,1405757704,1
LUCHINI SUPERCRITICAL,396,1,603347225,1438676110,1
SALISH SATIVAS,397,1,603357390,1407485704,1
TRAIL BLAZIN PRODUCTIONS,398,1,603328531,1408090503,1
SOMA FARMS,399,1,603324810,1406016903,1
MJ PRODUCTIONS,400,1,603340823,1406016903,1
TOM'S HEMP&CANNABIS,401,1,603348947,1406016903,1
420 NATURAL,402,1,603356866,1418894106,1
EMERALD CITY ORGANICS,403,1,603316622,1405757706,1
CAPTAIN HANSONS,404,1,603414528,1417079705,1
GANJA GODDESS,405,1,603328321,1415438105,1
SASQUATCH GREENHOUSES,407,1,602929885,1406967303,1
WW AGRICULTURE,408,1,603325117,1406189704,1
AD LIB ENTERPRISES,409,1,603349183,1407399304,1
HIGH FIVE FARMS,410,1,603358661,1405757705,1
FAMILY PLOT,411,1,603350729,1406708104,1
AXABRA EAST,412,1,603349128,1407226503,1
NAKED EMPEROR,413,1,603354839,1406362503,1
SUBX,414,1,603344143,1407572103,1
GREEN GHOST,415,1,603348535,1415956504,1
RL FARMS,416,1,603359262,1408522504,1
SEATTLE TONICS,417,1,603358489,1428653707,1
SMOKANE,418,1,603354717,1407831304,1
AMERICAN BEST SUPPLY,419,1,603267564,1410423304,1
172ND ST CANNABIS,420,1,603321077,1407226503,1
HERBAL RESEARCH AND DEVELOPMENT,421,1,603349127,1410596105,1
OKANOGAN HIGH COUNTRY PRODUCTS,422,1,603294577,1406794504,1
NORTHWEST RECREATIONAL,423,1,603349763,1409386504,1
BOTANY UNLIMITED DESIGN & SUPPLY,424,0,603180818,1406967303,0
LAGRANJA FARMS,425,1,603345754,1407226503,1
SAVAGE THC,426,1,603279597,1407399305,1
OLD SCHOOL,427,1,603357047,1409386504,1
G&S GREENERY,428,1,603356198,1411200904,1
SAR VENTURES,429,1,603357007,1409213705,1
