orgid,orgname,orgactive,orglicense,orgstatus
6,"Analytical 360, LLC.",1,603120434,1
16,Confidence Analytics,1,603324019,1
17,"True Northwest, Inc.",1,603178980,1
19,The Werc Shop,1,603410765,1
20,G.O.A.T. Labs,1,603392242,1
21,Phytalab,0,603092833,0
22,Integrity Labs,1,603364500,1
23,Steep Hill Labs,1,603382343,1
24,Anatek Labs,1,601768854,1
26,Testing Technologies,1,603273920,1
28,Green Grower Labs,1,603400231,1
29,"CannaSafe Analytics, LLC",0,603416677,0
33,Dragon Analytical Laboratory,1,602957983,1
34,Trace Analytics,1,603431425,1
39,Peak Analytics Testing Laboratory Services,1,603482763,1
48,FloraLabs Inc.,1,603485016,1
50,HD Analytics,1,603425952,1
55,Medicine Creek Analytics,1,603547955,1
60,MOLECULAR TESTING LABS,1,603032382,1
93,CAPITOL ANALYSIS,1,603617315,1
