id,sample_id,name,value,failure,location,orgid,lab_provided
12,66,moisture,6,0,139,170,1
13,81,moisture,6.1,0,143,173,1
14,80,moisture,6.1,0,143,173,1
15,79,moisture,5.1,0,143,173,1
16,78,moisture,6.9,0,143,173,1
17,68,moisture,2.6,0,147,198,1
18,69,moisture,1.42,0,147,198,1
19,70,moisture,3.13,0,147,198,1
20,71,moisture,3.22,0,147,198,1
21,72,moisture,3.42,0,147,198,1
22,73,moisture,5.46,0,147,198,1
23,42,moisture,10,0,139,170,1
24,53,moisture,11,0,139,170,1
25,41,moisture,9,0,139,170,1
26,34,moisture,10,0,139,170,1
27,46,moisture,8,0,139,170,1
28,39,moisture,10,0,139,170,1
29,43,moisture,9,0,139,170,1
30,37,moisture,8,0,139,170,1
31,36,moisture,10,0,139,170,1
32,38,moisture,10,0,139,170,1
33,44,moisture,8,0,139,170,1
34,33,moisture,8,0,139,170,1
35,45,moisture,9,0,139,170,1
36,48,moisture,7,0,124,168,1
37,58,moisture,8,0,124,168,1
38,59,moisture,13,0,124,168,1
39,64,moisture,10,0,124,168,1
40,52,moisture,9,0,124,168,1
41,50,moisture,10,0,124,168,1
42,60,moisture,12,0,124,168,1
43,61,moisture,10,0,124,168,1
44,49,moisture,6,0,124,168,1
45,51,moisture,9,0,124,168,1
46,55,moisture,9,0,124,168,1
47,54,moisture,10,0,124,168,1
48,56,moisture,9,0,124,168,1
49,57,moisture,9,0,124,168,1
50,65,moisture,9,0,124,168,1
51,63,moisture,12,0,124,168,1
52,62,moisture,9,0,124,168,1
53,47,moisture,9,0,124,168,1
54,67,moisture,22.5,1,152,192,1
55,77,moisture,5.35,0,155,187,1
56,76,moisture,7.36,0,155,187,1
57,75,moisture,6.25,0,155,187,1
58,74,moisture,5.44,0,155,187,1
59,24,moisture,3.72,0,127,167,1
60,25,moisture,5.01,0,127,167,1
61,26,moisture,6.53,0,127,167,1
62,31,moisture,4.19,0,127,167,1
63,28,moisture,4.13,0,127,167,1
64,30,moisture,4.96,0,127,167,1
65,32,moisture,5.28,0,127,167,1
66,29,moisture,4.18,0,127,167,1
67,83,moisture,4.17,0,146,202,1
68,82,moisture,3.94,0,146,202,1
69,84,moisture,4.98,0,146,202,1
70,85,moisture,4.11,0,146,202,1
71,86,moisture,5.86,0,146,202,1
72,89,moisture,6.48,0,146,202,1
73,88,moisture,4.55,0,146,202,1
74,87,moisture,6.48,0,146,202,1
75,90,moisture,6.31,0,159,201,1
76,91,moisture,8.9,0,159,201,1
77,92,moisture,4.48,0,159,201,1
78,94,moisture,4.33,0,153,199,1
79,95,moisture,8.04,0,153,199,1
80,96,moisture,7.71,0,153,199,1
81,97,moisture,6.69,0,153,199,1
82,109,moisture,5.18,0,127,167,1
83,107,moisture,5.89,0,127,167,1
84,110,moisture,5.99,0,127,167,1
85,106,moisture,5.51,0,127,167,1
86,19,moisture,6,0,139,170,0
87,20,moisture,7,0,139,170,0
88,22,moisture,6,0,139,170,0
89,23,moisture,9,0,139,170,0
90,113,moisture,7.29,0,143,173,1
91,122,moisture,9.5,0,143,173,1
92,99,moisture,6.67,0,153,199,1
93,104,moisture,6.16,0,153,199,1
94,111,moisture,6.53,0,153,199,1
95,100,moisture,5.38,0,153,199,1
96,105,moisture,5.85,0,153,199,1
97,112,moisture,4.25,0,153,199,1
98,93,moisture,17.78,1,159,201,1
99,115,moisture,11.79,0,159,201,1
100,114,moisture,4.54,0,159,201,1
101,121,moisture,8.75,0,191,252,1
102,120,moisture,5,0,191,252,1
103,119,moisture,2.62,0,191,252,1
104,118,moisture,4.7,0,191,252,1
105,117,moisture,4.42,0,191,252,1
106,116,moisture,5.7,0,191,252,1
107,98,moisture,3.23,0,191,252,1
109,103,moisture,9,0,140,165,1
110,102,moisture,9,0,140,165,1
111,101,moisture,9,0,140,165,0
112,40,moisture,9,0,139,170,1
113,35,moisture,10,0,139,170,1
114,21,moisture,9,0,139,170,1
115,144,moisture,10.58,0,165,211,1
116,146,moisture,10.88,0,165,211,1
117,143,moisture,5.42,0,154,172,1
118,142,moisture,2.87,0,154,172,1
119,138,moisture,3.61,0,154,172,1
120,141,moisture,4.09,0,154,172,1
121,136,moisture,3.19,0,154,172,1
122,135,moisture,3.96,0,154,172,1
123,139,moisture,3.41,0,154,172,1
124,140,moisture,3.7,0,154,172,1
125,137,moisture,3.82,0,154,172,1
126,126,moisture,3.39,0,152,192,1
127,131,moisture,2.9,0,152,192,1
128,148,moisture,2.3,0,152,192,1
129,127,moisture,2.52,0,152,192,1
130,129,moisture,3.5,0,152,192,1
131,130,moisture,3.22,0,152,192,1
132,132,moisture,2.97,0,152,192,1
133,134,moisture,1.88,0,158,201,1
134,133,moisture,1.77,0,158,201,1
135,149,moisture,3.12,0,159,201,1
136,145,moisture,4.16,0,159,201,1
137,154,moisture,6.99,0,153,199,1
138,165,moisture,6.99,0,153,199,1
139,124,moisture,5.53,0,153,199,1
140,128,moisture,1.98,0,147,198,1
141,150,moisture,12.25,0,145,180,1
142,151,moisture,4.86,0,145,180,1
143,153,moisture,4.34,0,143,173,1
144,152,moisture,4.49,0,143,173,1
145,158,moisture,4.11,0,148,197,1
146,162,moisture,6.9,0,148,197,1
147,160,moisture,6.46,0,148,197,1
148,161,moisture,8.03,0,148,197,1
149,159,moisture,6.92,0,148,197,1
