id,sample_id,name,value,failure,location,orgid,lab_provided
1,1370,residual_solvent,50,0,168,214,1
3,1371,residual_solvent,50,0,168,214,1
4,1709,residual_solvent,50,0,168,214,1
5,1710,residual_solvent,50,0,168,214,1
8,2215,residual_solvent,0,0,168,214,0
10,2735,residual_solvent,0,0,168,214,0
11,2566,residual_solvent,0,0,433,556,1
12,2621,residual_solvent,50,0,168,214,1
14,2293,residual_solvent,50,0,168,214,1
15,2496,residual_solvent,99,0,168,214,1
16,2501,residual_solvent,99,0,168,214,1
17,2620,residual_solvent,99,0,168,214,1
18,2811,residual_solvent,362,0,321,438,0
22,2812,residual_solvent,5900,1,321,438,1
23,2810,residual_solvent,3308,1,321,438,1
24,2809,residual_solvent,1172,1,321,438,1
25,3625,residual_solvent,0,0,168,214,1
26,3626,residual_solvent,0,0,168,214,1
27,3624,residual_solvent,0,0,168,214,1
28,2111,residual_solvent,60,0,433,556,1
29,2189,residual_solvent,70,0,433,556,1
30,3722,residual_solvent,0,0,168,214,1
34,3601,residual_solvent,0,0,168,214,1
35,3338,residual_solvent,70,0,433,556,1
36,3337,residual_solvent,70,0,433,556,1
37,3336,residual_solvent,40,0,433,556,1
38,4014,residual_solvent,130,0,433,556,1
39,4008,residual_solvent,100,0,433,556,1
40,4011,residual_solvent,120,0,433,556,1
42,5542,residual_solvent,50,0,433,556,1
43,5545,residual_solvent,60,0,433,556,1
44,5544,residual_solvent,20,0,433,556,1
45,5543,residual_solvent,70,0,433,556,1
46,5905,residual_solvent,130,0,433,556,1
47,5906,residual_solvent,80,0,433,556,1
48,5908,residual_solvent,140,0,433,556,1
49,5907,residual_solvent,140,0,433,556,1
50,5911,residual_solvent,50,0,433,556,1
54,6694,residual_solvent,0,0,393,497,1
55,6402,residual_solvent,0,0,168,214,1
56,6910,residual_solvent,10,0,433,556,1
57,6916,residual_solvent,70,0,433,556,1
58,6882,residual_solvent,10,0,433,556,1
59,6918,residual_solvent,10,0,433,556,1
60,6914,residual_solvent,0,0,433,556,1
61,6912,residual_solvent,0,0,433,556,1
62,6907,residual_solvent,470,0,433,556,1
63,6915,residual_solvent,30,0,433,556,1
64,6888,residual_solvent,40,0,433,556,1
65,6736,residual_solvent,0,0,168,214,1
66,6394,residual_solvent,0,0,168,214,1
67,6737,residual_solvent,0,0,168,214,1
69,6878,residual_solvent,3.1,0,321,438,1
70,3733,residual_solvent,11,0,321,438,1
71,3734,residual_solvent,0,0,321,438,1
