"","inventoryid","sessiontime","strain","weight","transactionid","plantid","location","remainingweight","requiresweighing","parentid","inventorytype","wet","seized","orgid","deleted","plantarray","usableweight","removescheduled","removescheduletime","inventoryparentid","productname","currentroom","idserial","removereason","inventorystatus","inventorystatustime","inventoryparentidpct","sample_id","source_id","transactionid_original","recalled"
"1",6033744980000592,1427907723,"Mixed",NA,43608378,NA,199,3764,NA,6033744980000542,25,0,NA,290,0,NA,NA,0,NA,6033744980000592,"Pain Relief Spritz",NA,510365,NA,NA,NA,NA,965993587123702,NA,2987240,NA
"2",6033744980000598,1428607826,"Blue Boy (Blue Dream x Northern Lights 5)",2240,34989833,NA,199,135,1,3184220209353591376082080662842206828864860246446844624608244046440286882488444420024840644024800024404024008426822044280448688002680824648280262248242260680082822024884824260,13,0,NA,290,0,NA,NA,0,NA,6033744980000598,NA,NA,537845,NA,NA,NA,NA,1725284788752437,NA,3180766,NA
"3",6033764960004001,1434472697,"Cherwilly",NA,58498347,NA,393,58.5,1,6033576410000027,18,0,NA,497,0,NA,NA,0,NA,6033764960004001,NA,NA,785147,NA,NA,NA,NA,1141159435593435,NA,5386264,NA
"4",6033764960004163,1435094958,"Aliens on Moonshine",NA,21750585,NA,393,59.9,1,60337649600040274176008400446066,19,0,NA,497,0,NA,NA,0,NA,6033764960004163,NA,NA,819577,NA,NA,NA,NA,3553901403677194,NA,5679123,NA
"5",6033744980000704,1436835127,"Mixed",1,58302112,NA,199,113,NA,6033744980000703,24,0,NA,290,0,NA,NA,0,NA,6033744980000704,NA,NA,911274,NA,NA,NA,NA,4406393014422969,NA,6557679,NA
"6",6032691970002386,1438710131,"THE TRUTH",1940.28,32333097,NA,184,45.75,1,4133365485541766624004628840080022884868644426420486680400040440004640822206462228260620066262620008080604682640280680664220240042688406204622844682002068600280282422000828422220266428882084480206860040426202,13,0,NA,231,0,NA,NA,0,NA,6032691970002386,NA,6577,1018876,NA,NA,NA,NA,3455226474681289,NA,7660576,NA
"7",6032691970002391,1438712165,"BLACK MAGIC",1961.8,32332018,NA,184,21.47,1,5269401087889258,13,0,NA,231,0,NA,NA,0,NA,6032691970002391,NA,6577,1019261,NA,NA,NA,NA,5070570229594920,NA,7663381,NA
"8",6032691970002393,1438712655,"LAVENDER",1207.34,32332380,NA,184,6.29,1,2214175092377112,13,0,NA,231,0,NA,NA,0,NA,6032691970002393,NA,6577,1019373,NA,NA,NA,NA,1113534225070770,NA,7663755,NA
"9",6032691970002394,1438712846,"LAVENDER",1126.05,32332632,NA,184,15.26,1,6221794519182544,13,0,NA,231,0,NA,NA,0,NA,6032691970002394,NA,6577,1019408,NA,NA,NA,NA,3586692444049579,NA,7663894,NA
"10",6032691970002395,1438713285,"CINEX",1222.32,32332127,NA,184,4.15,1,7020614792143157,13,0,NA,231,0,NA,NA,0,NA,6032691970002395,NA,6577,1019510,NA,NA,NA,NA,7692412331069347,NA,7664229,NA
