"towntype","saledate","revenue","tot_items","avg_price_peritem","perc_usable","perc_extract","perc_edible","perc_other"
"Urban",2015-05-15,533565.868501,19211,27.7739768102129,0.781739628337931,0.0857841861433554,0.130706366144396,0.0017698193743168
"NCNU",2015-05-15,554746.74,17980,30.8535450500556,0.824860956618465,0.0800333704115684,0.092714126807564,0.00239154616240267
"Pullman",2015-05-15,17323.48,496,34.9263709677419,0.846774193548387,0.0604838709677419,0.092741935483871,0
"Ellensburg",2015-05-15,9333.71,440,21.2129772727273,0.795454545454545,0.0931818181818182,0.104545454545455,0.00681818181818182
"Airway Heights",2015-05-15,4736.48,233,20.3282403433476,0.841201716738197,0.0643776824034335,0.0944206008583691,0
"Urban",2015-05-16,586790.013854,21615,27.1473520173028,0.774138329863521,0.0815637288919732,0.141799676150821,0.00249826509368494
"NCNU",2015-05-16,565432.89,19655,28.7678906130756,0.81343169676927,0.0816077334011702,0.10226405494785,0.00269651488170949
"Pullman",2015-05-16,16940.21,519,32.6400963391137,0.809248554913295,0.0732177263969171,0.117533718689788,0
"Ellensburg",2015-05-16,9159.67,419,21.8607875894988,0.823389021479714,0.0739856801909308,0.100238663484487,0.00238663484486874
"Airway Heights",2015-05-16,5827.49,274,21.2682116788321,0.843065693430657,0.0875912408759124,0.0693430656934307,0
"Urban",2015-05-17,438288.760997,16565,26.4587238754603,0.776214910956837,0.0797464533655297,0.142770902505282,0.00126773317235134
"NCNU",2015-05-17,378020.62,14188,26.6436862137017,0.819495348181562,0.0762616295460953,0.101071327882718,0.00317169438962504
"Pullman",2015-05-17,179.09,6,29.8483333333333,0.833333333333333,0.166666666666667,0,0
"Ellensburg",2015-05-17,6791.2,328,20.7048780487805,0.88719512195122,0.0335365853658537,0.0792682926829268,0
"Airway Heights",2015-05-17,3633.17,169,21.4980473372781,0.757396449704142,0.0828402366863905,0.159763313609467,0
"Urban",2015-05-18,610147.728798,13445,45.3810136703607,0.80416511714392,0.082409817776125,0.112458162885831,0.00096690219412421
"NCNU",2015-05-18,364655.6,11853,30.7648359065216,0.844005736944234,0.0731460389774741,0.0803172192693833,0.00253100480890914
"Pullman",2015-05-18,12787.02,375,34.09872,0.853333333333333,0.096,0.0506666666666667,0
"Ellensburg",2015-05-18,5666.08,241,23.5107053941909,0.838174273858921,0.0746887966804979,0.0829875518672199,0.004149377593361
"Airway Heights",2015-05-18,2291.98,103,22.2522330097087,0.854368932038835,0.087378640776699,0.058252427184466,0
"Urban",2015-05-19,582225.304012,14673,39.680045254004,0.812717235739113,0.0787841613848565,0.107271859878689,0.00122674299734206
"NCNU",2015-05-19,374098.16,13441,27.8326136448181,0.839892865114203,0.0793839744066662,0.0786399821441857,0.00208317833494532
"Pullman",2015-05-19,12882.17,394,32.6958629441624,0.8248730964467,0.106598984771574,0.0685279187817259,0
"Ellensburg",2015-05-19,7054.15,318,22.1828616352201,0.89937106918239,0.0534591194968553,0.0471698113207547,0
"Airway Heights",2015-05-19,3248.84,138,23.5423188405797,0.840579710144927,0.0289855072463768,0.130434782608696,0
"Urban",2015-05-20,618242.758659,15929,38.8124024520686,0.80551195931948,0.081486596773181,0.11168309372842,0.00131835017891895
"NCNU",2015-05-20,384887.54,13928,27.634085295807,0.838239517518667,0.0775416427340609,0.0818495117748421,0.00236932797242964
"Pullman",2015-05-20,11742.43,376,31.2298670212766,0.851063829787234,0.0585106382978723,0.0904255319148936,0
"Ellensburg",2015-05-20,5444.69,255,21.3517254901961,0.870588235294118,0.0588235294117647,0.0666666666666667,0.00392156862745098
"Airway Heights",2015-05-20,3136.85,152,20.6371710526316,0.861842105263158,0.0328947368421053,0.105263157894737,0
"Urban",2015-05-21,497061.169182,18336,27.1084843576571,0.785831151832461,0.0821335078534031,0.130726439790576,0.00130890052356021
"NCNU",2015-05-21,488557,16009,30.5176463239428,0.822037603847836,0.0828908738834406,0.0920732088200387,0.00299831344868511
"Pullman",2015-05-21,12665.25,418,30.2996411483254,0.818181818181818,0.102870813397129,0.0789473684210526,0
"Ellensburg",2015-05-21,10034.68,399,25.1495739348371,0.796992481203007,0.06265664160401,0.140350877192982,0
"Airway Heights",2015-05-21,3906.49,163,23.9661963190184,0.907975460122699,0.00613496932515337,0.0858895705521472,0
"Urban",2015-05-22,729340.223285,23394,31.1763795539455,0.778105497136018,0.0830982303154655,0.13704368641532,0.00175258613319655
"NCNU",2015-05-22,619265.42,20716,29.8930980884341,0.814877389457424,0.0816759992276501,0.101033017957135,0.00241359335779108
"Pullman",2015-05-22,15436.9,538,28.6931226765799,0.847583643122677,0.087360594795539,0.0650557620817844,0
"Ellensburg",2015-05-22,13572.83,513,26.4577582846004,0.760233918128655,0.0818713450292398,0.157894736842105,0
"Airway Heights",2015-05-22,5226.83,249,20.9912851405622,0.887550200803213,0.036144578313253,0.0763052208835341,0
"Urban",2015-05-23,740498.435046,24168,30.6396240916087,0.768081761006289,0.0860642171466402,0.143164515061238,0.00268950678583251
"NCNU",2015-05-23,596077.92,20218,29.4825363537442,0.806706894846177,0.0825502027895934,0.107379562765852,0.00336333959837768
"Pullman",2015-05-23,17284.56,521,33.1757389635317,0.844529750479846,0.0978886756238004,0.0575815738963532,0
"Ellensburg",2015-05-23,10082.92,388,25.9869072164948,0.824742268041237,0.0463917525773196,0.126288659793814,0.00257731958762887
"Airway Heights",2015-05-23,4526.81,214,21.1533177570093,0.803738317757009,0.0794392523364486,0.116822429906542,0
"Urban",2015-05-24,740638.396312,18907,39.1727083255937,0.768921563442111,0.0776960913947215,0.150367588723753,0.00301475643941397
"NCNU",2015-05-24,393086.23,15229,25.8116901963359,0.813119705824414,0.0761704642458467,0.107689277037232,0.00302055289250772
