"towntype","saledate","tot_items","perc_cartridge","perc_oil","perc_hash_kief","perc_wax_shatter_resin","perc_uncategorized"
"Airway Heights",2015-05-15,15,0,0,0.0666666666666667,0,0.933333333333333
"Airway Heights",2015-05-16,24,0,0,0.0833333333333333,0,0.916666666666667
"Airway Heights",2015-05-17,14,0,0,0.0714285714285714,0,0.928571428571429
"Airway Heights",2015-05-18,9,0,0,0.111111111111111,0,0.888888888888889
"Airway Heights",2015-05-19,4,0,0,0,0,1
"Airway Heights",2015-05-20,5,0,0,0.2,0,0.8
"Airway Heights",2015-05-21,1,0,0,0,0,1
"Airway Heights",2015-05-22,9,0.444444444444444,0,0.333333333333333,0,0.222222222222222
"Airway Heights",2015-05-23,17,0.235294117647059,0,0.117647058823529,0,0.647058823529412
"Airway Heights",2015-05-24,10,0.2,0,0.1,0.5,0.2
"Airway Heights",2015-05-25,11,0.181818181818182,0,0,0.818181818181818,0
"Airway Heights",2015-05-26,5,0.6,0,0,0.2,0.2
"Airway Heights",2015-05-27,11,0.363636363636364,0,0,0.545454545454545,0.0909090909090909
"Airway Heights",2015-05-28,16,0.3125,0,0,0.5,0.1875
"Airway Heights",2015-05-29,7,0.142857142857143,0,0.142857142857143,0.571428571428571,0.142857142857143
"Airway Heights",2015-05-30,21,0.0952380952380952,0,0.0952380952380952,0.571428571428571,0.238095238095238
"Airway Heights",2015-05-31,17,0.0588235294117647,0,0.235294117647059,0.529411764705882,0.176470588235294
"Airway Heights",2015-06-01,6,0,0,0.166666666666667,0.333333333333333,0.5
"Airway Heights",2015-06-02,7,0,0,0.142857142857143,0.142857142857143,0.714285714285714
"Airway Heights",2015-06-03,20,0.05,0,0.25,0.3,0.4
"Airway Heights",2015-06-04,17,0.117647058823529,0.0588235294117647,0.0588235294117647,0.294117647058824,0.470588235294118
"Airway Heights",2015-06-05,12,0.166666666666667,0.0833333333333333,0.166666666666667,0.416666666666667,0.166666666666667
"Airway Heights",2015-06-06,20,0.05,0.1,0,0.65,0.2
"Airway Heights",2015-06-07,12,0,0.25,0,0.75,0
"Airway Heights",2015-06-08,4,0.25,0.5,0,0,0.25
"Airway Heights",2015-06-09,9,0,0.111111111111111,0.111111111111111,0.777777777777778,0
"Airway Heights",2015-06-10,10,0,0.1,0,0.8,0.1
"Airway Heights",2015-06-11,8,0.125,0,0,0.625,0.25
"Airway Heights",2015-06-12,11,0.0909090909090909,0.272727272727273,0,0.545454545454545,0.0909090909090909
"Airway Heights",2015-06-13,25,0.16,0.16,0,0.52,0.16
"Airway Heights",2015-06-14,14,0.0714285714285714,0.357142857142857,0.0714285714285714,0.285714285714286,0.214285714285714
"Airway Heights",2015-06-15,2,0,0,0,0.5,0.5
"Airway Heights",2015-06-16,10,0.1,0.4,0,0.3,0.2
"Airway Heights",2015-06-17,15,0.133333333333333,0,0,0.6,0.266666666666667
"Airway Heights",2015-06-18,9,0,0.111111111111111,0,0.555555555555556,0.333333333333333
"Airway Heights",2015-06-19,11,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.363636363636364,0.363636363636364
"Airway Heights",2015-06-20,20,0.1,0.15,0.05,0.6,0.1
"Airway Heights",2015-06-21,17,0.117647058823529,0.117647058823529,0.0588235294117647,0.411764705882353,0.294117647058824
"Airway Heights",2015-06-22,17,0.0588235294117647,0.176470588235294,0.0588235294117647,0.470588235294118,0.235294117647059
"Airway Heights",2015-06-23,7,0.142857142857143,0,0,0.857142857142857,0
"Airway Heights",2015-06-24,6,0,0,0,0.666666666666667,0.333333333333333
"Airway Heights",2015-06-25,18,0,0.0555555555555556,0.111111111111111,0.555555555555556,0.277777777777778
"Airway Heights",2015-06-26,16,0,0.0625,0,0.75,0.1875
"Airway Heights",2015-06-27,25,0.04,0.12,0.12,0.6,0.12
"Airway Heights",2015-06-28,17,0.0588235294117647,0.0588235294117647,0,0.647058823529412,0.235294117647059
"Airway Heights",2015-06-29,8,0.125,0,0.125,0.5,0.25
"Airway Heights",2015-06-30,4,0,0.25,0,0.5,0.25
"Airway Heights",2015-07-01,20,0.05,0.25,0,0.4,0.3
"Airway Heights",2015-07-02,21,0,0.238095238095238,0,0.476190476190476,0.285714285714286
"Airway Heights",2015-07-03,26,0.0384615384615385,0.230769230769231,0,0.653846153846154,0.0769230769230769
"Airway Heights",2015-07-04,26,0.0384615384615385,0.230769230769231,0,0.269230769230769,0.461538461538462
"Airway Heights",2015-07-05,14,0,0.142857142857143,0,0.642857142857143,0.214285714285714
"Airway Heights",2015-07-06,10,0,0,0,0.8,0.2
"Airway Heights",2015-07-07,23,0,0.173913043478261,0,0.521739130434783,0.304347826086957
"Airway Heights",2015-07-08,13,0,0.230769230769231,0,0.692307692307692,0.0769230769230769
"Airway Heights",2015-07-09,9,0.111111111111111,0.222222222222222,0,0.666666666666667,0
"Airway Heights",2015-07-10,26,0.115384615384615,0.0384615384615385,0,0.153846153846154,0.692307692307692
"Airway Heights",2015-07-11,34,0.0294117647058824,0.0588235294117647,0,0.205882352941176,0.705882352941177
"Airway Heights",2015-07-12,17,0.0588235294117647,0,0,0.117647058823529,0.823529411764706
"Airway Heights",2015-07-13,7,0,0,0,0.285714285714286,0.714285714285714
"Airway Heights",2015-07-14,23,0.0434782608695652,0.173913043478261,0,0.173913043478261,0.608695652173913
"Airway Heights",2015-07-15,20,0.1,0.15,0,0.15,0.6
"Airway Heights",2015-07-16,19,0.0526315789473684,0.157894736842105,0,0.421052631578947,0.368421052631579
"Airway Heights",2015-07-17,11,0,0.0909090909090909,0.0909090909090909,0.545454545454545,0.272727272727273
"Airway Heights",2015-07-18,21,0,0.238095238095238,0.0952380952380952,0.19047619047619,0.476190476190476
"Airway Heights",2015-07-19,16,0,0.1875,0,0.4375,0.375
